replicateid,dayselapsed,beta,eir,pfprunder5,pfpr2to10,pfprall
2456,5387,0.04,3.67888,18.231,15.1312,12.2486
2456,5418,0.04,3.67888,23.4861,19.9839,16.7407
2456,5448,0.04,3.67888,27.3693,22.9457,19.8021
2456,5479,0.04,3.67888,26.8933,23.1083,18.7582
2456,5510,0.04,3.70532,23.6445,19.6586,15.2374
2456,5538,0.04,3.70532,20.2406,16.2636,12.2082
2456,5569,0.04,3.70532,17.4785,13.182,10.0073
2456,5599,0.04,3.70532,14.918,11.2265,8.38895
2456,5630,0.04,3.70532,12.9607,9.69794,7.16456
2456,5660,0.04,3.70532,11.8671,8.77921,6.43913
2456,5691,0.04,3.70532,11.169,8.3785,6.55101
2456,5722,0.04,3.70532,13.5697,10.7874,8.49831
